TaxID	CLARK	Kaiju	Kraken
234	1725	NA	NA	NA
235	491	NA	NA	NA
236	2176	NA	NA	NA
237	135	NA	NA	NA
238	343	NA	NA	NA
239	788	NA	NA	NA
240	1148	NA	NA	NA
241	1444	NA	NA	NA
242	2112	NA	NA	NA
243	1264	NA	NA	NA
244	1223	NA	NA	NA
245	1501	NA	NA	NA
246	2113	NA	NA	NA
247	2114	NA	NA	NA
248	1540	NA	NA	NA
249	257	NA	NA	NA
250	665	NA	NA	NA
251	1523	NA	NA	NA
252	2076	NA	NA	NA
253	1823	NA	NA	NA
254	1518	NA	NA	NA
255	2096	NA	NA	NA
256	963	NA	NA	NA
257	2164	NA	NA	NA
258	1376	NA	NA	NA
259	402	NA	NA	NA
260	96	NA	NA	NA
261	2254	NA	NA	NA
262	1657	NA	NA	NA
263	1352	NA	NA	NA
264	1768	NA	NA	NA
265	1113	NA	NA	NA
266	2280	NA	NA	NA
267	914	NA	NA	NA
268	2156	NA	NA	NA
269	1689	NA	NA	NA
270	1918	NA	NA	NA
271	655	NA	NA	NA
272	659	NA	NA	NA
273	1208	NA	NA	NA
274	660	NA	NA	NA
275	656	NA	NA	NA
276	662	NA	NA	NA
277	664	NA	NA	NA
278	668	NA	NA	NA
279	669	NA	NA	NA
280	1907	NA	NA	NA
281	1088	NA	NA	NA
282	1209	NA	NA	NA
283	674	NA	NA	NA
284	541	NA	NA	NA
285	1400	NA	NA	NA
286	57	NA	NA	NA
287	325	NA	NA	NA
288	839	NA	NA	NA
289	625	NA	NA	NA
290	612	NA	NA	NA
291	139	NA	NA	NA
292	1474	NA	NA	NA
293	1901	NA	NA	NA
294	1539	NA	NA	NA
295	255	NA	NA	NA
296	789	NA	NA	NA
297	446	NA	NA	NA
298	445	NA	NA	NA
299	1757	NA	NA	NA
300	1669	NA	NA	NA
301	1751	NA	NA	NA
302	1667	NA	NA	NA
303	1670	NA	NA	NA
304	1668	NA	NA	NA
305	362	NA	NA	NA
306	361	NA	NA	NA
307	28	NA	NA	NA
308	1453	NA	NA	NA
309	1752	NA	NA	NA
310	1755	NA	NA	NA
311	2248	NA	NA	NA
312	267	NA	NA	NA
313	679	NA	NA	NA
314	184	NA	NA	NA
315	342	NA	NA	NA
316	645	NA	NA	NA
317	1685	NA	NA	NA
318	1634	NA	NA	NA
319	1302	NA	NA	NA
320	1927	NA	NA	NA
321	781	NA	NA	NA
322	842	NA	NA	NA
323	1618	NA	NA	NA
324	910	NA	NA	NA
325	545	NA	NA	NA
326	2147	NA	NA	NA
327	2148	NA	NA	NA
328	1760	NA	NA	NA
329	305	NA	NA	NA
330	207	NA	NA	NA
331	1494	NA	NA	NA
332	1631	NA	NA	NA
333	1498	NA	NA	NA
334	1259	NA	NA	NA
335	170	NA	NA	NA
336	106	NA	NA	NA
337	115	NA	NA	NA
338	1389	NA	NA	NA
339	336	NA	NA	NA
340	393	NA	NA	NA
341	687	NA	NA	NA
342	1861	NA	NA	NA
343	472	NA	NA	NA
344	2040	NA	NA	NA
345	1577	NA	NA	NA
346	1122	NA	NA	NA
347	156	NA	NA	NA
348	1291	NA	NA	NA
349	110	NA	NA	NA
350	2203	NA	NA	NA
351	462	NA	NA	NA
352	2253	NA	NA	NA
353	1269	NA	NA	NA
354	1718	NA	NA	NA
355	1721	NA	NA	NA
356	1218	NA	NA	NA
357	1392	NA	NA	NA
358	1707	NA	NA	NA
359	1717	NA	NA	NA
360	280	NA	NA	NA
361	2187	NA	NA	NA
362	1426	NA	NA	NA
363	1592	NA	NA	NA
364	1252	NA	NA	NA
365	1720	NA	NA	NA
366	729	NA	NA	NA
367	1920	NA	NA	NA
368	1921	NA	NA	NA
369	651	NA	NA	NA
370	596	NA	NA	NA
371	794	NA	NA	NA
372	783	NA	NA	NA
373	2058	NA	NA	NA
374	2059	NA	NA	NA
375	73	NA	NA	NA
376	2252	NA	NA	NA
377	442	NA	NA	NA
378	1846	NA	NA	NA
379	14	NA	NA	NA
380	1880	NA	NA	NA
381	398	NA	NA	NA
382	821	NA	NA	NA
383	854	NA	NA	NA
384	1610	NA	NA	NA
385	1584	NA	NA	NA
386	2024	NA	NA	NA
387	1803	NA	NA	NA
388	1627	NA	NA	NA
389	272	NA	NA	NA
390	1991	NA	NA	NA
391	1692	NA	NA	NA
392	884	NA	NA	NA
393	1357	NA	NA	NA
394	282	NA	NA	NA
395	2277	NA	NA	NA
396	1573	NA	NA	NA
397	979	NA	NA	NA
398	1010	NA	NA	NA
399	1491	NA	NA	NA
400	1013	NA	NA	NA
401	981	NA	NA	NA
402	2116	NA	NA	NA
403	1261	NA	NA	NA
404	2065	NA	NA	NA
405	999	NA	NA	NA
406	187	NA	NA	NA
407	1171	NA	NA	NA
408	990	NA	NA	NA
409	1022	NA	NA	NA
410	1719	NA	NA	NA
411	987	NA	NA	NA
412	630	NA	NA	NA
413	633	NA	NA	NA
414	439	NA	NA	NA
415	631	NA	NA	NA
416	632	NA	NA	NA
417	1729	NA	NA	NA
418	2120	NA	NA	NA
419	22	NA	NA	NA
420	1366	NA	NA	NA
421	1222	NA	NA	NA
422	31	NA	NA	NA
423	2016	NA	NA	NA
424	1741	NA	NA	NA
425	1967	NA	NA	NA
426	875	NA	NA	NA
427	1153	NA	NA	NA
428	1029	NA	NA	NA
429	1152	NA	NA	NA
430	102	NA	NA	NA
431	1662	NA	NA	NA
432	1682	NA	NA	NA
433	767	NA	NA	NA
434	202	NA	NA	NA
435	951	NA	NA	NA
436	434	NA	NA	NA
437	49	NA	NA	NA
438	768	NA	NA	NA
439	657	NA	NA	NA
440	485	NA	NA	NA
441	2275	NA	NA	NA
442	1949	NA	NA	NA
443	1415	NA	NA	NA
444	1416	NA	NA	NA
445	1120	NA	NA	NA
446	769	NA	NA	NA
447	33	NA	NA	NA
448	705	NA	NA	NA
449	181	NA	NA	NA
450	2213	NA	NA	NA
451	1	NA	NA	NA
452	1873	NA	NA	NA
453	1502	NA	NA	NA
454	1960	NA	NA	NA
455	2070	NA	NA	NA
456	1779	NA	NA	NA
457	1551	NA	NA	NA
458	1520	NA	NA	NA
459	407	NA	NA	NA
460	423	NA	NA	NA
461	1385	NA	NA	NA
462	1391	NA	NA	NA
463	378	NA	NA	NA
