TaxID	CLARK	Kaiju	Kraken
NA	NA	1	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	1	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	3	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	2	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	1	NA
NA	NA	NA	12
NA	NA	NA	192
NA	NA	NA	284258
