TaxID	Kraken	Kaiju	CLARK
227	1175296	NA	NA	NA
228	1177	NA	1	NA
229	1177	NA	NA	NA
230	1178515	NA	1	NA
231	1178515	NA	NA	NA
232	1178516	NA	1	NA
233	1178516	NA	NA	NA
234	1178537	NA	1	NA
235	1178537	NA	NA	NA
236	1179773	NA	3	NA
237	1179773	NA	NA	NA
238	118	NA	NA	NA
239	118101	NA	1	NA
240	118101	NA	NA	NA
241	118163	NA	3	NA
242	118163	NA	NA	NA
243	1183438	NA	3	NA
244	1183438	NA	NA	NA
245	1184	NA	5	NA
246	1184	NA	NA	NA
247	1184387	NA	NA	5
248	1186051	NA	3	NA
249	1186051	NA	NA	NA
250	1189303	NA	5	NA
251	1189303	NA	NA	NA
252	118969	NA	2	NA
253	118969	NA	NA	NA
254	119	NA	NA	NA
255	119060	NA	1	NA
256	119060	NA	NA	NA
257	1191459	NA	1	NA
258	1191459	NA	NA	NA
259	1192197	NA	1	NA
260	1192197	NA	NA	NA
261	1193502	NA	1	NA
262	1193502	NA	NA	NA
263	1198114	NA	2	NA
264	1198114	NA	NA	NA
265	1198449	NA	1	NA
266	1198449	NA	NA	NA
267	12	NA	NA	NA
268	120	NA	NA	NA
269	1202450	NA	1	NA
270	1202450	NA	NA	NA
271	1202768	NA	1	NA
272	1202768	NA	NA	NA
273	1204725	NA	1	NA
274	1204725	NA	NA	NA
275	1205910	NA	1	NA
276	1205910	NA	NA	NA
277	1208324	56	NA	NA
278	1208324	NA	NA	69
279	1208324	NA	NA	NA
280	1208921	NA	1	NA
281	1208921	NA	NA	NA
282	121	NA	NA	NA
283	1211326	NA	3	NA
284	1211326	NA	NA	NA
285	121292	NA	12	NA
286	121292	NA	NA	6
287	121292	NA	NA	NA
288	1213620	NA	10	NA
289	1213620	NA	NA	NA
290	1215089	NA	1	NA
291	1215089	NA	NA	NA
292	1217984	NA	1	NA
293	1217984	NA	NA	NA
294	1218	NA	1	NA
295	1218	NA	NA	NA
296	1218175	NA	1	NA
297	1218175	NA	NA	NA
298	122	NA	NA	NA
299	122277	NA	3	NA
300	122277	NA	NA	NA
301	1223566	NA	1	NA
302	1223566	NA	NA	NA
303	1224	NA	51	NA
304	1224	NA	NA	NA
305	1227459	NA	1	NA
306	1227459	NA	NA	NA
307	1227465	NA	2	NA
308	1227465	NA	NA	NA
309	1227487	NA	2	NA
310	1227487	NA	NA	NA
311	1227497	NA	1	NA
312	1227497	NA	NA	NA
313	1227498	NA	1	NA
314	1227498	NA	NA	NA
315	12285	NA	1	NA
316	12285	NA	NA	NA
317	12288	NA	3132	NA
318	12288	NA	NA	NA
319	1229512	NA	1	NA
320	1229512	NA	NA	NA
321	123	NA	NA	NA
322	1230341	NA	1	NA
323	1230341	NA	NA	NA
324	1230458	NA	4	NA
325	1230458	NA	NA	NA
326	1231626	NA	3	NA
327	1231626	NA	NA	NA
328	1232219	NA	1	NA
329	1232219	NA	NA	NA
330	1234679	NA	1	NA
331	1234679	NA	NA	NA
332	1235591	NA	2	NA
333	1235591	NA	NA	NA
334	1235990	NA	NA	7
335	1236	NA	11	NA
336	1236	NA	NA	NA
337	1236179	NA	4	NA
338	1236179	NA	NA	NA
339	1236908	NA	1	NA
340	1236908	NA	NA	NA
341	1238	25	NA	NA
342	1238	NA	NA	29
343	1238	NA	NA	NA
344	1239	NA	9	NA
345	1239	NA	NA	NA
346	1239307	NA	1	NA
347	1239307	NA	NA	NA
348	124	NA	NA	NA
349	1244531	NA	NA	69
350	1245469	NA	1	NA
351	1245469	NA	NA	NA
352	1246301	NA	2	NA
353	1246301	NA	NA	NA
354	1246995	NA	1	NA
355	1246995	NA	NA	NA
356	1249474	NA	1	NA
357	1249474	NA	NA	NA
358	125	NA	NA	NA
359	1250539	NA	1	NA
360	1250539	NA	NA	NA
361	1252	NA	NA	1
362	1255	NA	1	NA
363	1255	NA	NA	NA
364	1257021	NA	3	NA
365	1257021	NA	NA	NA
366	126	NA	1	NA
367	126	NA	NA	NA
368	1261131	NA	1	NA
369	1261131	NA	NA	NA
370	1262470	NA	2	NA
371	1262470	NA	NA	NA
372	1263979	12	NA	NA
373	1263979	NA	NA	7
374	1263979	NA	NA	NA
375	1264579	NA	717	NA
376	1264579	NA	NA	NA
377	1265309	NA	1	NA
378	1265309	NA	NA	NA
379	12657	NA	3	NA
380	12657	NA	NA	NA
381	1267766	NA	1	NA
382	1267766	NA	NA	NA
383	1268	NA	51	NA
384	1268	NA	NA	NA
385	1269028	NA	2	NA
386	1269028	NA	NA	NA
387	127	NA	NA	NA
388	1271863	NA	2	NA
389	1271863	NA	NA	NA
390	1273132	NA	1	NA
391	1273132	NA	NA	NA
392	1274	NA	1	NA
393	1274	NA	NA	1
394	1274	NA	NA	NA
395	1274631	NA	1	NA
396	1274631	NA	NA	NA
397	1276220	NA	1	NA
398	1276220	NA	NA	NA
399	1276229	NA	1	NA
400	1276229	NA	NA	NA
401	1276257	NA	1	NA
402	1276257	NA	NA	NA
403	1277257	NA	4	NA
404	1277257	NA	NA	NA
405	128	NA	NA	NA
406	1283	NA	NA	1
407	1285583	NA	1	NA
408	1285583	NA	NA	NA
409	1288494	NA	5	NA
410	1288494	NA	NA	NA
411	1288970	NA	2	NA
412	1288970	NA	NA	NA
413	129	NA	NA	NA
414	12916	NA	1	NA
415	12916	NA	NA	NA
416	129337	NA	2	NA
417	129337	NA	NA	NA
418	1294273	NA	13	NA
419	1294273	NA	NA	NA
420	1295009	NA	1	NA
421	1295009	NA	NA	NA
422	1297742	NA	1	NA
423	1297742	NA	NA	NA
424	13	NA	NA	NA
425	130	NA	NA	NA
426	1300150	NA	1	NA
427	1300150	NA	NA	NA
428	1300344	NA	1	NA
429	1300344	NA	NA	NA
430	1301	NA	1	NA
431	1301	NA	NA	NA
432	1301098	NA	4	NA
433	1301098	NA	NA	NA
434	1303921	NA	1	NA
435	1303921	NA	NA	NA
436	1306519	NA	1	NA
437	1306519	NA	NA	NA
438	1307	NA	1	NA
439	1307	NA	NA	1
440	1307	NA	NA	NA
441	1307444	NA	1	NA
442	1307444	NA	NA	NA
443	1307761	NA	2	NA
444	1307761	NA	NA	NA
445	1307763	NA	2	NA
446	1307763	NA	NA	1
447	1307763	NA	NA	NA
448	1307832	NA	1	NA
449	1307832	NA	NA	NA
450	1307839	NA	1	NA
451	1307839	NA	NA	NA
452	1309	NA	2	NA
453	1309	NA	NA	NA
454	131	NA	NA	NA
455	1313172	NA	2	NA
456	1313172	NA	NA	NA
457	1314	NA	NA	6
458	131567	NA	11857	NA
459	131567	NA	NA	NA
460	1315974	NA	1	NA
461	1315974	NA	NA	NA
462	132	NA	NA	NA
463	133	NA	1	NA
464	133	NA	NA	NA
465	1330547	NA	1	NA
466	1330547	NA	NA	NA
467	1332080	NA	3	NA
468	1332080	NA	NA	NA
469	1336795	NA	3	NA
470	1336795	NA	NA	NA
471	1337877	NA	NA	126181
472	134	NA	NA	NA
473	1343739	NA	2	NA
474	1343739	NA	NA	NA
475	1344584	NA	1	NA
476	1344584	NA	NA	NA
477	134676	NA	2	NA
478	134676	NA	NA	NA
479	1348114	NA	2	NA
480	1348114	NA	NA	NA
481	1348774	NA	1	NA
482	1348774	NA	NA	NA
483	1349410	NA	1	NA
484	1349410	NA	NA	NA
485	134962	NA	1	NA
486	134962	NA	NA	NA
487	135	NA	NA	NA
488	1351755	NA	1	NA
489	1351755	NA	NA	NA
490	1352	NA	2	NA
491	1352	NA	NA	NA
492	1354275	NA	1	NA
493	1354275	NA	NA	NA
494	1355015	NA	1	NA
495	1355015	NA	NA	1
496	1355015	NA	NA	NA
497	135577	NA	2	NA
498	135577	NA	NA	NA
499	135616	NA	1	NA
500	135616	NA	NA	NA
501	135622	NA	1	NA
502	135622	NA	NA	NA
503	1357915	NA	5	NA
504	1357915	NA	NA	4
505	1357915	NA	NA	NA
506	1358	NA	1	NA
507	1358	NA	NA	NA
508	136	NA	NA	NA
509	1363	NA	1	NA
510	1363	NA	NA	1
511	1363	NA	NA	NA
512	1367203	NA	1	NA
513	1367203	NA	NA	NA
514	1367205	NA	1	NA
515	1367205	NA	NA	NA
516	1367847	NA	12	NA
517	1367847	NA	NA	NA
518	136845	NA	1	NA
519	136845	NA	NA	NA
520	137	NA	1	NA
521	137	NA	NA	NA
522	1372	NA	2	NA
523	1372	NA	NA	NA
524	137443	NA	1	NA
525	137443	NA	NA	NA
526	1375	NA	1	NA
527	1375	NA	NA	NA
528	137591	NA	1	NA
529	137591	NA	NA	NA
530	1376	NA	1	NA
531	1376	NA	NA	NA
532	1379270	NA	1	NA
533	1379270	NA	NA	NA
534	1379870	NA	1	NA
535	1379870	NA	NA	NA
536	1379910	NA	3	NA
537	1379910	NA	NA	NA
538	138	NA	NA	NA
539	1385940	NA	1	NA
540	1385940	NA	NA	NA
541	1386	NA	4	NA
542	1386	NA	NA	NA
543	1387353	NA	1	NA
544	1387353	NA	NA	NA
545	1389489	NA	1	NA
546	1389489	NA	NA	NA
547	139	NA	NA	NA
548	1390	NA	NA	2
549	1390395	NA	3	NA
550	1390395	NA	NA	NA
551	1392	NA	NA	1
552	1392998	NA	4	NA
553	1392998	NA	NA	NA
554	1396	NA	2	NA
555	1396	NA	NA	1
556	1396	NA	NA	NA
557	14	NA	NA	NA
558	140	NA	NA	NA
559	1401328	NA	1	NA
560	1401328	NA	NA	NA
561	1405806	NA	33	NA
562	1405806	NA	NA	NA
563	1405807	NA	59	NA
564	1405807	NA	NA	NA
565	1406	NA	3	NA
566	1406	NA	NA	NA
567	1408160	NA	1	NA
568	1408160	NA	NA	NA
569	141	NA	NA	NA
570	1410383	NA	4	NA
571	1410383	NA	NA	NA
572	1410664	NA	1	NA
573	1410664	NA	NA	NA
574	141451	NA	1	NA
575	141451	NA	NA	NA
576	1415166	NA	2	NA
577	1415166	NA	NA	NA
578	1416627	NA	NA	2
579	1416753	NA	1	NA
580	1416753	NA	NA	NA
581	1416803	NA	1	NA
582	1416803	NA	NA	NA
583	142	NA	NA	NA
584	1421	NA	1	NA
585	1421	NA	NA	1
586	1421	NA	NA	NA
587	1423	NA	1	NA
588	1423	NA	NA	2
589	1423	NA	NA	NA
590	1427356	NA	NA	1
591	1428	NA	1	NA
592	1428	NA	NA	2
593	1428	NA	NA	NA
594	143	NA	NA	NA
595	1432656	NA	1	NA
596	1432656	NA	NA	NA
597	1433126	NA	3	NA
598	1433126	NA	NA	NA
599	1434104	NA	1	NA
600	1434104	NA	NA	NA
601	1434107	NA	2	NA
602	1434107	NA	NA	NA
603	1434306	NA	1	NA
604	1434306	NA	NA	NA
605	1437453	NA	NA	1
606	1437824	NA	2	NA
607	1437824	NA	NA	NA
608	144	NA	NA	NA
609	1441629	NA	1	NA
610	1441629	NA	NA	NA
611	1442136	NA	1	NA
612	1442136	NA	NA	NA
613	1449976	NA	2	NA
614	1449976	NA	NA	NA
615	145	NA	NA	NA
616	1450746	NA	1	NA
617	1450746	NA	NA	NA
618	145259	NA	4	NA
619	145259	NA	NA	NA
620	145261	NA	1010	NA
621	145261	NA	NA	NA
622	1453429	NA	2	NA
623	1453429	NA	NA	NA
624	1453495	NA	2	NA
625	1453495	NA	NA	NA
626	1454006	NA	1	NA
627	1454006	NA	NA	NA
628	1454589	NA	1	NA
629	1454589	NA	NA	NA
630	1455608	NA	1	NA
631	1455608	NA	NA	NA
632	1455609	NA	747	NA
633	1455609	NA	NA	NA
634	1458985	NA	2	NA
635	1458985	NA	NA	NA
636	146	NA	NA	NA
637	1462996	NA	1	NA
638	1462996	NA	NA	NA
639	146919	NA	2	NA
640	146919	NA	NA	NA
641	147	NA	NA	NA
642	1470434	NA	1	NA
643	1470434	NA	NA	NA
644	1474867	NA	1	NA
645	1474867	NA	NA	NA
646	1476	NA	3	NA
647	1476	NA	NA	NA
648	147645	NA	2	NA
649	147645	NA	NA	NA
650	1479	NA	NA	1
651	1479019	NA	NA	1
652	148	NA	NA	NA
653	1484116	NA	1	NA
654	1484116	NA	NA	NA
655	1484118	NA	2	NA
656	1484118	NA	NA	NA
657	1484158	NA	NA	2
658	1484693	NA	1	NA
659	1484693	NA	NA	NA
660	1485	NA	7	NA
661	1485	NA	NA	NA
662	1486262	NA	2	NA
663	1486262	NA	NA	NA
664	1486991	NA	NA	2
665	1488	NA	2	NA
666	1488	NA	NA	NA
667	149	NA	NA	NA
668	1491	NA	1	NA
669	1491	NA	NA	NA
670	1492	NA	2	NA
671	1492	NA	NA	NA
