TaxID	Kaiju	Kraken	CLARK
263531	1	NA	NA
263531	NA	NA	NA
264445	1	NA	NA
264445	NA	NA	NA
27	NA	NA	NA
272123	1	NA	NA
272123	NA	NA	NA
272558	1	NA	NA
272558	NA	NA	NA
272624	6	NA	NA
272624	NA	NA	NA
28	NA	NA	NA
28211	214	NA	NA
28211	NA	NA	NA
286	61	NA	NA
286	NA	NA	NA
287	NA	NA	20
288000	1	NA	NA
288000	NA	NA	1
288000	NA	NA	NA
288681	1	NA	NA
288681	NA	NA	NA
28890	2	NA	NA
28890	NA	NA	NA
29	NA	NA	NA
294	NA	87	NA
294	NA	NA	2
294	NA	NA	NA
29449	NA	NA	1
29542	33	NA	NA
29542	NA	NA	NA
296591	NA	NA	1
3	NA	NA	NA
30	NA	NA	NA
300	NA	19	NA
300	NA	NA	19
300	NA	NA	NA
31	NA	NA	NA
310907	2	NA	NA
310907	NA	NA	NA
312540	3	NA	NA
312540	NA	NA	NA
314146	2519	NA	NA
314146	NA	NA	NA
314275	NA	31	NA
314275	NA	NA	11
314275	NA	NA	NA
314722	NA	33	NA
314722	NA	NA	31
314722	NA	NA	NA
316055	1	NA	NA
316055	NA	NA	NA
316056	1	NA	NA
316056	NA	NA	NA
317	NA	NA	1
31989	1	NA	NA
31989	NA	NA	NA
32	NA	NA	NA
323097	1	NA	NA
323097	NA	NA	NA
329	NA	23	NA
329	NA	NA	23
329	NA	NA	NA
33	NA	NA	NA
330	10	NA	NA
330	NA	22	NA
330	NA	NA	22
330	NA	NA	NA
338966	1	NA	NA
338966	NA	NA	NA
34	NA	NA	NA
349221	1	NA	NA
349221	NA	NA	NA
35	NA	NA	NA
35296	2013	NA	NA
35296	NA	NA	NA
357	8	NA	NA
357	NA	NA	NA
359	14	NA	NA
359	NA	13	NA
359	NA	NA	13
359	NA	NA	NA
36	NA	NA	NA
364745	1068	NA	NA
364745	NA	NA	NA
366394	1	NA	NA
366394	NA	NA	NA
367189	NA	NA	304
369723	1	NA	NA
369723	NA	NA	NA
37	NA	NA	NA
370323	NA	NA	7
373994	2	NA	NA
373994	NA	NA	NA
374	2	NA	NA
374	NA	NA	NA
38	NA	NA	NA
384676	1	NA	NA
384676	NA	NA	NA
39	NA	NA	NA
395492	4	NA	NA
395492	NA	NA	NA
39960	1	NA	NA
39960	NA	NA	NA
4	NA	NA	NA
40	NA	NA	NA
403833	1	NA	NA
403833	NA	NA	NA
403957	1	NA	NA
403957	NA	NA	NA
41	NA	NA	NA
42	NA	NA	NA
43	NA	NA	NA
44	NA	NA	NA
446466	1	NA	NA
446466	NA	NA	NA
45	NA	NA	NA
450851	1	NA	NA
450851	NA	NA	NA
451	2	NA	NA
451	NA	NA	NA
45243	1	NA	NA
45243	NA	NA	NA
45989	1	NA	NA
45989	NA	NA	NA
46	NA	NA	NA
463676	2	NA	NA
463676	NA	NA	NA
464095	10	NA	NA
464095	NA	NA	NA
469371	3	NA	NA
469371	NA	NA	NA
47	NA	NA	NA
471854	1	NA	NA
471854	NA	NA	NA
47681	1	NA	NA
47681	NA	NA	NA
479435	4	NA	NA
479435	NA	NA	NA
483219	1	NA	NA
483219	NA	NA	NA
492670	1	NA	NA
492670	NA	NA	NA
498761	1	NA	NA
498761	NA	NA	NA
5	NA	NA	NA
507754	NA	NA	148
521	NA	NA	4
528191	1	NA	NA
528191	NA	NA	NA
530564	1	NA	NA
530564	NA	NA	NA
54262	NA	NA	6
571915	1	NA	NA
571915	NA	NA	NA
582	1	NA	NA
582	NA	NA	NA
6	NA	NA	NA
64141	3	NA	NA
64141	NA	NA	NA
644282	1	NA	NA
644282	NA	NA	NA
644295	1	NA	NA
644295	NA	NA	NA
644966	1	NA	NA
644966	NA	NA	NA
649831	1	NA	NA
649831	NA	NA	NA
653045	1	NA	NA
653045	NA	NA	NA
656024	1	NA	NA
656024	NA	NA	NA
669041	1	NA	NA
669041	NA	NA	NA
671223	1	NA	NA
671223	NA	NA	NA
68570	NA	NA	5
698738	1	NA	NA
698738	NA	NA	NA
698968	1	NA	NA
698968	NA	NA	NA
699035	1	NA	NA
699035	NA	NA	NA
7	NA	NA	NA
70255	NA	NA	1
710685	1	NA	NA
710685	NA	NA	NA
71518	NA	NA	21
71999	1	NA	NA
71999	NA	17	NA
71999	NA	NA	17
71999	NA	NA	NA
759620	NA	NA	1
767031	1	NA	NA
767031	NA	NA	NA
8	NA	NA	NA
80854	9	NA	NA
80854	NA	NA	NA
81479	NA	NA	2
83986	5	NA	NA
83986	NA	NA	NA
84531	1	NA	NA
84531	NA	NA	NA
869212	1	NA	NA
869212	NA	NA	NA
875328	1	NA	NA
875328	NA	NA	NA
880072	1	NA	NA
880072	NA	NA	NA
9	NA	NA	NA
901	2	NA	NA
901	NA	NA	NA
921	NA	NA	2
928289	2191	NA	NA
928289	NA	NA	NA
936456	NA	NA	1
942	1	NA	NA
942	NA	NA	NA
94695	1	NA	NA
94695	NA	NA	NA
9606	23962	NA	NA
9606	NA	83858	NA
9606	NA	NA	83882
9606	NA	NA	NA
