TaxID	Kraken	Kaiju	CLARK
228	1038927	NA	1	NA
229	1038927	NA	NA	NA
230	1039	NA	NA	NA
231	104	NA	NA	2
232	104	NA	NA	NA
233	1040	NA	NA	NA
234	104087	10	NA	NA
235	104087	NA	6	NA
236	104087	NA	NA	10
237	104087	NA	NA	NA
238	1041	NA	1	NA
239	1041	NA	NA	NA
240	1041504	NA	28	NA
241	1041504	NA	NA	9
242	1041504	NA	NA	NA
243	1041826	NA	16	NA
244	1041826	NA	NA	NA
245	1041930	NA	5	NA
246	1041930	NA	NA	NA
247	1042	NA	NA	NA
248	1042156	15	NA	NA
249	1042156	NA	237	NA
250	1042156	NA	NA	17
251	1042156	NA	NA	NA
252	1042163	NA	44	NA
253	1042163	NA	NA	NA
254	1042417	NA	2	NA
255	1042417	NA	NA	NA
256	104264	NA	79	NA
257	104264	NA	NA	NA
258	104267	NA	8	NA
259	104267	NA	NA	NA
260	1042877	NA	5	NA
261	1042877	NA	NA	NA
262	1042878	NA	14	NA
263	1042878	NA	NA	NA
264	1043	NA	NA	NA
265	104388	NA	1	NA
266	104388	NA	NA	NA
267	1044	NA	NA	NA
268	1045	NA	NA	NA
269	1045808	NA	2	NA
270	1045808	NA	NA	NA
271	1045854	NA	13	NA
272	1045854	NA	NA	NA
273	1045855	NA	5	NA
274	1045855	NA	NA	NA
275	1045858	NA	16	NA
276	1045858	NA	NA	NA
277	1046	NA	10	NA
278	1046	NA	NA	NA
279	1046624	NA	4	NA
280	1046624	NA	NA	NA
281	1047	NA	NA	NA
282	1048	NA	NA	NA
283	1048245	NA	4	NA
284	1048245	NA	NA	NA
285	1048260	NA	1	NA
286	1048260	NA	NA	NA
287	1048332	NA	115	NA
288	1048332	NA	NA	NA
289	10486	NA	1	NA
290	10486	NA	NA	NA
291	1048758	NA	7	NA
292	1048758	NA	NA	3
293	1048758	NA	NA	NA
294	1048834	NA	3	NA
295	1048834	NA	NA	NA
296	1049	NA	NA	8
297	1049	NA	NA	NA
298	105	NA	NA	NA
299	1050	NA	NA	NA
300	1050107	NA	2	NA
301	1050107	NA	NA	NA
302	1050174	NA	78	NA
303	1050174	NA	NA	8
304	1050174	NA	NA	NA
305	10509	NA	1	NA
306	10509	NA	NA	NA
307	1051	NA	NA	NA
308	1051072	NA	6	NA
309	1051072	NA	NA	NA
310	1051074	NA	49	NA
311	1051074	NA	NA	NA
312	1051631	NA	10	NA
313	1051631	NA	NA	NA
314	1051646	NA	20	NA
315	1051646	NA	NA	NA
316	1051650	NA	3	NA
317	1051650	NA	NA	NA
318	1051973	NA	2	NA
319	1051973	NA	NA	NA
320	1052	NA	NA	NA
321	105219	NA	14	NA
322	105219	NA	NA	13
323	105219	NA	NA	NA
324	1052684	NA	1	NA
325	1052684	NA	NA	NA
326	1053	NA	NA	8
327	1053	NA	NA	NA
328	1053692	NA	2	NA
329	1053692	NA	NA	NA
330	1054	NA	NA	NA
331	1054217	NA	19	NA
332	1054217	NA	NA	NA
333	1054460	NA	6417	NA
334	1054460	NA	NA	NA
335	1055	NA	NA	NA
336	1055487	NA	NA	12
337	1055531	NA	2	NA
338	1055531	NA	NA	NA
339	1055532	NA	2	NA
340	1055532	NA	NA	NA
341	105559	NA	5	NA
342	105559	NA	NA	NA
343	105560	13	NA	NA
344	105560	NA	NA	18
345	105560	NA	NA	NA
346	1056	NA	NA	NA
347	1056495	NA	4	NA
348	1056495	NA	NA	NA
349	1057	NA	NA	NA
350	1058	NA	NA	NA
351	1059	NA	NA	NA
352	106	19	NA	NA
353	106	NA	NA	21
354	106	NA	NA	NA
355	1060	NA	5	NA
356	1060	NA	NA	NA
357	1061	NA	NA	4
358	1061	NA	NA	NA
359	106178	NA	9	NA
360	106178	NA	NA	NA
361	1062	NA	NA	NA
362	106284	NA	2	NA
363	106284	NA	NA	NA
364	1063	11	NA	NA
365	1063	NA	17	NA
366	1063	NA	NA	13
367	1063	NA	NA	NA
368	106331	NA	2	NA
369	106331	NA	NA	NA
370	106370	NA	15	NA
371	106370	NA	NA	2
372	106370	NA	NA	NA
373	1064	NA	NA	NA
374	1064539	NA	5	NA
375	1064539	NA	NA	NA
376	1065	NA	NA	NA
377	106589	NA	60	NA
378	106589	NA	NA	NA
379	106590	42	NA	NA
380	106590	NA	22	NA
381	106590	NA	NA	48
382	106590	NA	NA	NA
383	106592	18	NA	NA
384	106592	NA	17	NA
385	106592	NA	NA	8
386	106592	NA	NA	NA
387	1066	NA	NA	NA
388	10662	NA	45	NA
389	10662	NA	NA	NA
390	10663	NA	3	NA
391	10663	NA	NA	NA
392	106633	NA	18	NA
393	106633	NA	NA	NA
394	106634	NA	16	NA
395	106634	NA	NA	4
396	106634	NA	NA	NA
397	106654	24	NA	NA
398	106654	NA	10	NA
399	106654	NA	NA	23
400	106654	NA	NA	NA
401	1067	NA	NA	NA
402	1068	NA	NA	NA
403	1068978	NA	14	NA
404	1068978	NA	NA	NA
405	1069	NA	NA	6
406	1069	NA	NA	NA
407	10690	74	NA	NA
408	10690	NA	62	NA
409	10690	NA	NA	NA
410	1069083	NA	5	NA
411	1069083	NA	NA	NA
412	1069533	NA	62	NA
413	1069533	NA	NA	NA
414	1069534	NA	57	NA
415	1069534	NA	NA	NA
416	1069642	NA	5	NA
417	1069642	NA	NA	NA
418	10699	NA	251	NA
419	10699	NA	NA	NA
420	107	NA	75	NA
421	107	NA	NA	NA
422	1070	NA	NA	NA
423	1070130	NA	4	NA
424	1070130	NA	NA	21
425	1070130	NA	NA	NA
426	10704	NA	6	NA
427	10704	NA	NA	NA
428	1071	NA	NA	NA
429	1071085	NA	7	NA
430	1071085	NA	NA	NA
431	1071400	NA	42	NA
432	1071400	NA	NA	NA
433	1072	NA	NA	NA
434	1072256	17	NA	NA
435	1072256	NA	46	NA
436	1072256	NA	NA	18
437	1072256	NA	NA	NA
438	1072467	NA	6	NA
439	1072467	NA	NA	NA
440	1072685	NA	151	NA
441	1072685	NA	NA	NA
442	1073	NA	NA	NA
443	1073999	NA	5	NA
444	1073999	NA	NA	NA
445	1074	NA	NA	NA
446	1074309	NA	2	NA
447	1074309	NA	NA	NA
448	10744	NA	12	NA
449	10744	NA	NA	NA
450	1074467	NA	19	NA
451	1074467	NA	NA	4
452	1074467	NA	NA	NA
453	10747	NA	47	NA
454	10747	NA	NA	NA
455	1074863	NA	1	NA
456	1074863	NA	NA	NA
457	1074889	NA	11	NA
458	1074889	NA	NA	NA
459	1075	NA	NA	NA
460	1075397	NA	4	NA
461	1075397	NA	NA	NA
462	1075399	NA	7	NA
463	1075399	NA	NA	NA
464	1076	19	NA	NA
465	1076	NA	25	NA
466	1076	NA	NA	20
467	1076	NA	NA	NA
468	1076550	NA	8	NA
469	1076550	NA	NA	3
470	1076550	NA	NA	NA
471	1076588	NA	30	NA
472	1076588	NA	NA	3
473	1076588	NA	NA	NA
474	1076596	NA	17	NA
475	1076596	NA	NA	NA
476	1076934	NA	30	NA
477	1076934	NA	NA	NA
478	1077	NA	NA	NA
479	107709	NA	NA	6
480	1078	NA	NA	NA
481	1078773	NA	18	NA
482	1078773	NA	NA	NA
483	1079	NA	14	NA
484	1079	NA	NA	4
485	1079	NA	NA	NA
486	108	NA	NA	NA
487	1080	NA	NA	NA
488	1080068	NA	23	NA
489	1080068	NA	NA	3
490	1080068	NA	NA	NA
491	108010	14	NA	NA
492	108010	NA	NA	14
493	108010	NA	NA	NA
494	1081	NA	NA	NA
495	1081940	NA	3	NA
496	1081940	NA	NA	NA
497	1082	NA	NA	NA
498	1082851	25	NA	NA
499	1082851	NA	41	NA
500	1082851	NA	NA	26
501	1082851	NA	NA	NA
502	1082931	NA	30	NA
503	1082931	NA	NA	NA
504	1082933	NA	9	NA
505	1082933	NA	NA	NA
506	1083	NA	NA	NA
507	1084	NA	NA	10
508	1084	NA	NA	NA
509	1084719	NA	2	NA
510	1084719	NA	NA	NA
511	108486	11	NA	NA
512	108486	NA	NA	10
513	108486	NA	NA	NA
514	1085	NA	19	NA
515	1085	NA	NA	4
516	1085	NA	NA	NA
517	1085623	NA	15	NA
518	1085623	NA	NA	NA
519	1085624	21	NA	NA
520	1085624	NA	266	NA
521	1085624	NA	NA	23
522	1085624	NA	NA	NA
523	1086	NA	NA	NA
524	1086726	NA	1	NA
525	1086726	NA	NA	NA
526	1087	NA	NA	NA
527	1087448	NA	7	NA
528	1087448	NA	NA	NA
529	1088	NA	NA	NA
530	1088721	NA	7	NA
531	1088721	NA	NA	NA
532	1089	NA	NA	NA
533	1089128	NA	5	NA
534	1089128	NA	NA	NA
535	1089444	NA	6	NA
536	1089444	NA	NA	10
537	1089444	NA	NA	NA
538	1089553	NA	34	NA
539	1089553	NA	NA	NA
540	108981	NA	20	NA
541	108981	NA	NA	8
542	108981	NA	NA	NA
543	109	NA	NA	NA
544	1090	NA	NA	NA
545	1090322	NA	10	NA
546	1090322	NA	NA	NA
547	1090974	NA	7	NA
548	1090974	NA	NA	NA
549	1091	NA	4	NA
550	1091	NA	NA	NA
551	1091038	NA	7	NA
552	1091038	NA	NA	NA
553	1091045	NA	6	NA
554	1091045	NA	NA	NA
555	1091494	NA	37	NA
556	1091494	NA	NA	NA
557	1092	NA	NA	4
558	1092	NA	NA	NA
559	109232	NA	2	NA
560	109232	NA	NA	2
561	109232	NA	NA	NA
562	109262	NA	5	NA
563	109262	NA	NA	NA
564	1093	NA	NA	NA
565	1093787	NA	2	NA
566	1093787	NA	NA	NA
567	1094	15	NA	NA
568	1094	NA	NA	18
569	1094	NA	NA	NA
570	1094342	NA	8	NA
571	1094342	NA	NA	3
572	1094342	NA	NA	NA
573	1094466	NA	145	NA
574	1094466	NA	NA	NA
575	1094489	NA	4	NA
576	1094489	NA	NA	NA
577	1094497	NA	7	NA
578	1094497	NA	NA	NA
579	1094892	NA	1	NA
580	1094892	NA	NA	NA
581	1094980	NA	16	NA
582	1094980	NA	NA	NA
583	1095	NA	NA	NA
584	1096	NA	NA	5
585	1096	NA	NA	NA
586	1096856	NA	1	NA
587	1096856	NA	NA	NA
588	1096935	NA	14	NA
589	1096935	NA	NA	NA
590	1097	NA	NA	2
591	1097	NA	NA	NA
592	1097668	NA	4	NA
593	1097668	NA	NA	1
594	1097668	NA	NA	NA
595	1097677	NA	3	NA
596	1097677	NA	NA	NA
597	109790	10	NA	NA
598	109790	NA	26	NA
599	109790	NA	NA	8
600	109790	NA	NA	NA
601	1098	NA	NA	NA
602	1099	NA	NA	NA
603	11	18	NA	NA
604	11	NA	NA	20
605	11	NA	NA	NA
606	110	NA	NA	NA
607	1100	NA	NA	6
608	1100	NA	NA	NA
609	1100043	NA	1	NA
610	1100043	NA	NA	NA
611	1101	NA	6	NA
612	1101	NA	NA	NA
613	1102	NA	NA	1
614	1102	NA	NA	NA
615	1103	NA	NA	NA
616	110321	NA	NA	3
617	1104	NA	NA	NA
618	1104322	NA	95	NA
619	1104322	NA	NA	NA
620	1104325	NA	6	NA
621	1104325	NA	NA	NA
622	1104326	NA	16	NA
623	1104326	NA	NA	NA
624	1105	NA	NA	NA
625	1105114	NA	1	NA
626	1105114	NA	NA	NA
627	1105171	NA	1	NA
628	1105171	NA	NA	NA
629	110539	NA	NA	6
630	1106	NA	NA	NA
631	110662	NA	1	NA
632	110662	NA	NA	NA
633	1107	NA	47	NA
634	1107	NA	NA	NA
635	1108	NA	NA	NA
636	1108595	37	NA	NA
637	1108595	NA	20	NA
638	1108595	NA	NA	42
639	1108595	NA	NA	NA
640	1109	NA	NA	NA
641	1109711	NA	2	NA
642	1109711	NA	NA	NA
643	1109714	NA	2	NA
644	1109714	NA	NA	NA
645	1109743	NA	32	NA
646	1109743	NA	NA	6
647	1109743	NA	NA	NA
648	111	NA	NA	NA
649	1110	NA	NA	NA
650	111015	191	NA	NA
651	111015	NA	294	NA
652	111015	NA	NA	202
653	111015	NA	NA	NA
654	1110502	NA	27	NA
655	1110502	NA	NA	NA
656	1110509	NA	9	NA
657	1110509	NA	NA	NA
658	1111	NA	2	NA
659	1111	NA	NA	NA
660	1111069	NA	8	NA
661	1111069	NA	NA	4
662	1111069	NA	NA	NA
663	1111676	NA	1	NA
664	1111676	NA	NA	NA
665	1112	NA	7	NA
666	1112	NA	NA	8
667	1112	NA	NA	NA
668	1112204	NA	12	NA
669	1112204	NA	NA	NA
670	1113	NA	NA	NA
671	1114	NA	NA	NA
672	1114856	NA	4	NA
673	1114856	NA	NA	NA
674	1114958	NA	1	NA
675	1114958	NA	NA	NA
676	1114965	NA	773	NA
677	1114965	NA	NA	NA
678	1114967	NA	1	NA
679	1114967	NA	NA	NA
680	1114970	NA	3	NA
681	1114970	NA	NA	NA
682	1115	NA	NA	NA
683	111500	NA	9	NA
684	111500	NA	NA	NA
685	111501	NA	NA	9
686	111527	NA	37	NA
687	111527	NA	NA	NA
688	1116	NA	NA	NA
689	1116231	NA	18	NA
690	1116231	NA	NA	NA
691	1116375	NA	1	NA
692	1116375	NA	NA	3
693	1116375	NA	NA	NA
694	1117	NA	147	NA
695	1117	NA	NA	NA
696	1117645	19	NA	NA
697	1117645	NA	104	NA
698	1117645	NA	NA	23
699	1117645	NA	NA	NA
700	1117647	NA	35	NA
701	1117647	NA	NA	NA
702	111780	NA	9	NA
703	111780	NA	NA	NA
704	111781	NA	18	NA
705	111781	NA	NA	4
706	111781	NA	NA	NA
707	1117943	NA	2	NA
708	1117943	NA	NA	NA
